index,Institution,Faculty Name,Field,HomePage,Research Interests,Scholar Url,h_index,i10_index,Image
10,Indian Institute of Technology Gandhinagar,Vijay Thiruvenkatam,Biological Engineering,https://iitgn.ac.in/faculty/bioe/fac-vijay,"['Structural biology of macromolecular complexes', 'Chemical crystallography', 'Insitu cryo-crystallizations of liquids', 'Projects: a) Structural investigation of Alzheimer disease related protein gamma secretase activating protein (GSAP) b) Structural investigation of  (Ataxia telangiectasia and Rad3-related protein)  ATR and (Ataxia telangiectasia mutated) ATM Kinase protein']",https://scholar.google.co.in/citations?user=NIBSRMIAAAAJ,11,11,https://iitgn.ac.in/media/pages/faculty/bioe/fac-vijay/1274823549-1679554160/vijay.jpg
11,Indian Institute of Technology Gandhinagar,Abinaya Sampath,Chemical Engineering,https://iitgn.ac.in/faculty/chemical/fac-abinaya,"['Heterogeneous catalysis', 'Raman spectroscopy', 'Mass spectroscopy,', 'In-situ and operando spectroscopy', 'Electrochemistry, oxidation']",https://scholar.google.co.in/citations?user=Ata540_sjqEC,4,1,https://iitgn.ac.in/media/pages/faculty/chemical/fac-abinaya/1754432438-1679554160/abhinya.png
12,Indian Institute of Technology Gandhinagar,Biswajit Saha,Chemical Engineering,https://iitgn.ac.in/faculty/chemical/fac-biswajit,"['2D/nanomaterial synthesis and analysis', 'Development of wearable sensors and detection of physiological signal', 'Detection of pathogen pathogens (bacteria) and chemicals in aqueous media', 'Real-time monitoring of fruit growth and irrigation for smart-farming', 'Water filtration']",https://scholar.google.co.in/citations?user=_KspP2sAAAAJ,10,11,https://iitgn.ac.in/media/pages/faculty/chemical/fac-biswajit/377347854-1679554160/saha.png
14,Indian Institute of Technology Gandhinagar,Hari Ganesh,Chemical Engineering,https://iitgn.ac.in/faculty/chemical/fac-hari,"['Modeling and Simulation', 'Process Control and Optimization', 'Energy and Environment', 'Data Science']",https://scholar.google.co.in/citations?user=i9zIIFAAAAAJ,7,7,https://iitgn.ac.in/media/pages/faculty/chemical/fac-hari/1617002806-1679554160/hari.jpg
15,Indian Institute of Technology Gandhinagar,Kabeer Jasuja,Chemical Engineering,https://iitgn.ac.in/faculty/chemical/fac-kabeer,"['Exfoliation of layered metal borides', 'Synthesis of boron based nanosheets analogous to graphene', 'Fundamental science at the interface of nanosheets', 'Designing novel nano composites', 'Nanomaterials for energy storage']",https://scholar.google.co.in/citations?user=YTZ4JlMAAAAJ,15,18,https://iitgn.ac.in/media/pages/faculty/chemical/fac-kabeer/3955045880-1679554160/1kabir.webp
16,Indian Institute of Technology Gandhinagar,Karthik Subramaniam Pushpavanam,Chemical Engineering,https://iitgn.ac.in/faculty/chemical/fac-karthik,"['Synthetic Biology', 'Nanomaterials', 'Sensors']",https://scholar.google.co.in/citations?user=I4em_UcAAAAJ,9,9,https://iitgn.ac.in/media/pages/faculty/chemical/fac-karthik/1344059997-1679554160/karthik.jpg
17,Indian Institute of Technology Gandhinagar,Kaustubh Rane,Chemical Engineering,https://iitgn.ac.in/faculty/chemical/fac-kaustubh,"['Interfacial phenomena at solid-fluid and fluid-fluid interfaces', 'Thermodynamics and statistical mechanics', 'Molecular simulations']",https://scholar.google.co.in/citations?user=UxHNL1gAAAAJ,8,7,https://iitgn.ac.in/media/pages/faculty/chemical/fac-kaustubh/2144754970-1679554160/kaustubh.JPG
18,Indian Institute of Technology Gandhinagar,Mithun Radhakrishna,Chemical Engineering,https://iitgn.ac.in/faculty/chemical/fac-mithun,"['Protein aggregation', 'Chaperone mediated protein folding', 'Polymer coacervation', 'Molecular simulations']",https://scholar.google.co.in/citations?user=hWy2PEwAAAAJ,10,10,https://iitgn.ac.in/media/pages/faculty/chemical/fac-mithun/3038658947-1679554160/mithun.JPG
19,Indian Institute of Technology Gandhinagar,Nitin Padhiyar,Chemical Engineering,https://iitgn.ac.in/faculty/chemical/fac-nitin,"['Process optimization and control', 'Multi-objective optimization (MOO)', 'Genetic algorithms', 'Dynamic optimization', 'Model predictive control (MPC)', 'MOO based MPC']",https://scholar.google.co.in/citations?user=5RdJGBkAAAAJ,13,14,https://iitgn.ac.in/media/pages/faculty/chemical/fac-nitin/708655200-1679554160/nithin.JPG
20,Indian Institute of Technology Gandhinagar,Prachi Thareja,Chemical Engineering,https://iitgn.ac.in/faculty/chemical/fac-prachi,"['Viscoelastic properties of particles in liquid crystals and applications', 'Liquid crystal sensors', 'Interfacial engineering of soft materials', 'Anti infective surface']",https://scholar.google.co.in/citations?user=N6H9EMMAAAAJ,13,16,https://iitgn.ac.in/media/pages/faculty/chemical/fac-prachi/3829953309-1679554160/prachi.jpg
21,Indian Institute of Technology Gandhinagar,Pratyush Dayal,Chemical Engineering,https://iitgn.ac.in/faculty/chemical/fac-pratyush,"['Self-oscillating polymer gels', 'Structure development in polymer blends and solutions', 'Polymer processing']",https://scholar.google.co.in/citations?user=S5XwVZQAAAAJ,14,19,https://iitgn.ac.in/media/pages/faculty/chemical/fac-pratyush/753090198-1679554160/pratyush.JPG
22,Indian Institute of Technology Gandhinagar,Sameer V. Dalvi,Chemical Engineering,https://iitgn.ac.in/faculty/chemical/fac-sameer,"['Engineering stable microbubbles formulations for biomedical applications', 'Precipitation and stabilization of nnanoparticles in aqueous suspensions', 'Supercritical fluid processing']",https://scholar.google.co.in/citations?user=2QGvuwIAAAAJ,22,40,https://iitgn.ac.in/media/pages/faculty/chemical/fac-sameer/1678405332-1679554160/1sameer.jpg
23,Indian Institute of Technology Gandhinagar,Sameer Patel,Chemical Engineering,https://iitgn.ac.in/faculty/chemical/fac-sameer-patel,"['Aerosol and air quality', 'Air pollution control', 'Low-cost air quality monitors', 'Environmental policies and regulations']",https://scholar.google.co.in/citations?user=2QGvuwIAAAAJ,22,40,https://iitgn.ac.in/media/pages/faculty/chemical/fac-sameer-patel/2880292139-1679554160/0sameernew.jpg
24,Indian Institute of Technology Gandhinagar,Anirban Mondal,Chemistry,https://iitgn.ac.in/faculty/chemistry/fac-anirban,"['Charge transport in organic semiconductors, excited states, and optoelectronics', 'Machine learning techniques to explore the chemical space of organic semiconductors', 'Design of efficient host/guest systems for blue organic light-emitting diodes (OLEDs)', 'Donor-acceptor materials for organic solar cells', 'Machine learning potentials for atomistic modeling of materials', 'Proton/ion transport in solid electrolytes']",https://scholar.google.co.in/citations?user=2YquHDgAAAAJ,17,29,https://iitgn.ac.in/media/pages/faculty/chemistry/fac-anirban/3878360295-1679554159/AnirbanMondalIITGN.jpg
25,Indian Institute of Technology Gandhinagar,Bhaskar Datta,Chemistry,https://iitgn.ac.in/faculty/chemistry/fac-bhaskar,"['Investigation of groove-modified nucleobases on Y-family DNA polymerase activity', 'Construction of metal nanowires based on biomolecular templates', 'Structure-function correlations of unorthodox DNA structures', 'Aptamer-based sensors and detection strategies for infectious diseases', 'Enzymatic remediation of phenolic wastewater']",https://scholar.google.co.in/citations?user=S4LXgQQAAAAJ,12,16,https://iitgn.ac.in/media/pages/faculty/bioe/fac-bhaskar/1847654198-1679554160/bhaskar.JPG
26,Indian Institute of Technology Gandhinagar,Biswajit Mondal,Chemistry,https://iitgn.ac.in/faculty/chemistry/fac-biswajit,"['Photo-electrochemistry', 'Electrochemical conversion of value added chemicals', 'Renewable energy', 'Spectroscopy (UV-Vis kinetics, FTIR, resonance Raman, cryogenic intermediate trapping and elucidation of reaction mechanism)']",https://scholar.google.co.in/citations?user=_KspP2sAAAAJ,10,11,https://iitgn.ac.in/media/pages/faculty/chemistry/fac-biswajit/4109614119-1679554159/biswajit.jpg
27,Indian Institute of Technology Gandhinagar,Chandrakumar Appayee,Chemistry,https://iitgn.ac.in/faculty/chemistry/fac-chandrakumar,"['Development of novel double-hydrogen bond donor catalysts', 'Asymmetric amine catalysis', 'Asymmetric synthesis of bio-active molecules', 'Study of small molecules for targeted diseases']",https://scholar.google.co.in/citations?user=27k7V0cAAAAJ,13,17,https://iitgn.ac.in/media/pages/faculty/chemistry/fac-chandrakumar/21908591-1679554159/Chandra Photo.JPG
28,Indian Institute of Technology Gandhinagar,Iti Gupta,Chemistry,https://iitgn.ac.in/faculty/chemistry/fac-iti,"['Boron based NIR dyes and their conjugates', 'Derivatives of  corroles and N-confused porphyrins with novel properties', 'Metal complexes of dipyrrins']",https://scholar.google.co.in/citations?user=yJnQ_toAAAAJ,22,38,https://iitgn.ac.in/media/pages/faculty/chemistry/fac-iti/2778770472-1679554159/igupta.JPG
29,Indian Institute of Technology Gandhinagar,Sairam Swaroop Mallajosyula,Chemistry,https://iitgn.ac.in/faculty/chemistry/fac-sairam,"['Carbohydrate-protein interactions', 'Novel DNA constructs', 'Molecular mechanics force field development']",https://scholar.google.co.in/citations?user=ICTi_eIAAAAJ,21,32,https://iitgn.ac.in/media/pages/faculty/chemistry/fac-sairam/1525796205-1679554159/sairam.jpg
30,Indian Institute of Technology Gandhinagar,Saumyakanti Khatua,Chemistry,https://iitgn.ac.in/faculty/chemistry/fac-saumyakanti,"['Plasmonics', 'Nano-optics']",https://scholar.google.co.in/citations?user=QNbuT0cAAAAJ,20,27,https://iitgn.ac.in/media/pages/faculty/chemistry/fac-saumyakanti/163641175-1679554159/saumyakanti.JPG
31,Indian Institute of Technology Gandhinagar,Sivapriya Kirubakaran,Chemistry,https://iitgn.ac.in/faculty/chemistry/fac-sivapriya,"['Drug discovery and cancer chemical biology', 'Use of small molecules to study cancer related proteins', 'Basic synthetic organic chemistry']",https://scholar.google.co.in/citations?user=DSt1GlcAAAAJ,13,19,https://iitgn.ac.in/media/pages/faculty/chemistry/fac-sivapriya/556837850-1679554159/sivapriya.png
32,Indian Institute of Technology Gandhinagar,Sriram Kanvah Gundimeda,Chemistry,https://iitgn.ac.in/faculty/chemistry/fac-sriram,['Synthesis of photosensitive π-conjugated materials for a variety of optical and biological applications'],https://scholar.google.co.in/citations?user=hfk4qjAAAAAJ,20,42,https://iitgn.ac.in/media/pages/faculty/chemistry/fac-sriram/3485250521-1679554159/sriram.jpg
33,Indian Institute of Technology Gandhinagar,Sudhanshu Sharma,Chemistry,https://iitgn.ac.in/faculty/chemistry/fac-sudhanshu,"['Materials', 'Electrochemistry', 'Catalysis']",https://scholar.google.co.in/citations?user=NMtRLZU7b2oC,24,40,https://iitgn.ac.in/media/pages/faculty/chemistry/fac-sudhanshu/3921024436-1679554159/sudhanshu.jpg
34,Indian Institute of Technology Gandhinagar,Sudipta Basu,Chemistry,https://iitgn.ac.in/faculty/chemistry/fac-sudipta,"['Chemical biology of mitochondria and endoplasmic reticulum (ER)', 'Development of self-assembled novel nano-scale materials', 'Design and synthesis of small molecules for understanding cancer biology', 'Organic synthesis', 'Nanobiotechnology']",https://scholar.google.co.in/citations?user=zNd8ADwAAAAJ,23,39,https://iitgn.ac.in/media/pages/faculty/chemistry/fac-sudipta/1701197959-1679554159/sudipta.JPG
35,Indian Institute of Technology Gandhinagar,Ajanta Sachan,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-ajanta,"['Liquefaction & cyclic instability in soils', 'Stiffness degradation and pore pressure of soils under earthquake, traffic and machine vibration loading conditions', 'Swelling, shrinkage and desiccation cracking in expansive soils', 'Issues of micaceous soil and coal ash for road and rail construction']",https://scholar.google.co.in/citations?user=ePmWCqcAAAAJ,11,13,https://iitgn.ac.in/media/pages/faculty/civil/fac-ajanta/3682568250-1679554160/ajanta.png
36,Indian Institute of Technology Gandhinagar,Amit Prashant,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-amit,"['Constitutive modeling for granular materials', 'Numerical modeling of geotechnical structures', 'Earthquake geotechnical engineering', 'Applications of geosynthetics']",https://scholar.google.co.in/citations?user=6_j5ue0AAAAJ,13,18,https://iitgn.ac.in/media/pages/faculty/civil/fac-amit/1240420610-1679554160/amit.jpg
37,Indian Institute of Technology Gandhinagar,C N Pandey,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-cnpandey,"['Carbon sequestration of coral reefs of Gujarat', 'Status of grasslands of Saurashtra and Central Gujarat', 'Potential area mapping for mangrove restoration in South Gujarat, Kachchh and Saurashtra']",https://scholar.google.co.in/citations?user=83HXAjoAAAAJ,20,31,https://iitgn.ac.in/media/pages/faculty/civil/fac-cnpandey/3290344263-1679554160/cn_pandey.jpg
38,Indian Institute of Technology Gandhinagar,Dhiman Basu,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-dhiman,"['Ground motion characterization and seismic hazard', 'Performance based earthquake engineering', 'Complex structures', 'Structural health monitoring']",https://scholar.google.co.in/citations?user=4FkmAgIAAAAJ,15,22,https://iitgn.ac.in/media/pages/faculty/civil/fac-dhiman/3843454800-1679554160/dhiman.jpg
39,Indian Institute of Technology Gandhinagar,G. V. Rao,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-g_v_rao,"['Geotechnical testing and evaluation', 'Design of pavements and quality control check']",https://scholar.google.co.in/citations?user=ziD_UGYAAAAJ,32,52,https://iitgn.ac.in/media/pages/faculty/civil/fac-g_v_rao/570006281-1679554160/36.png
40,Indian Institute of Technology Gandhinagar,Gaurav,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-gaurav,"['Uncertainty quantification', 'Structural Fire Engineering', 'Computational mechanics']",https://scholar.google.co.in/citations?user=VAGhLYMAAAAJ,1,0,https://iitgn.ac.in/media/pages/faculty/civil/fac-gaurav/1217424904-1679554160/gaurav.jpg
42,Indian Institute of Technology Gandhinagar,Manish Kumar,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-manish,"['Performance-based earthquake engineering', 'Seismic isolation', 'Seismic risk assessment', 'Concrete and masonry structures', 'Impact- and blast-resistant design', 'Concrete printing', 'Wind engineering', 'Resilience of lifeline infrastructure']",https://scholar.google.co.in/citations?user=OUh8XFYAAAAJ,9,8,https://iitgn.ac.in/media/pages/faculty/civil/fac-manish/2322895355-1679554160/manish.jpg
43,Indian Institute of Technology Gandhinagar,Pranab Kumar Mohapatra,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-pranab,"['Hydraulics and water resources engineering', 'Transients in pipe flow', 'Transients in open channel flow', 'Frequency domain analysis in pipe flow']",https://scholar.google.co.in/citations?user=93c86gsAAAAJ,13,18,https://iitgn.ac.in/media/pages/faculty/civil/fac-pranab/1139224718-1679554160/pranab.JPG
44,Indian Institute of Technology Gandhinagar,Sameer Patel,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-sameer,"['Aerosol and air quality', 'Air pollution control', 'Low-cost air quality monitors', 'Environmental policies and regulations']",https://scholar.google.co.in/citations?user=2QGvuwIAAAAJ,22,40,https://iitgn.ac.in/media/pages/faculty/chemical/fac-sameer-patel/2880292139-1679554160/0sameernew.jpg
45,Indian Institute of Technology Gandhinagar,S R Gandhi,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-srgandhi,"['Pile Foundation', 'Ground improvement', 'Field Instrumentation', 'Fly ash disposal']",https://scholar.google.co.in/citations?user=nqD2hsYAAAAJ,35,43,https://iitgn.ac.in/media/pages/faculty/civil/fac-srgandhi/3308629301-1679554160/srgandhi.jpg
47,Indian Institute of Technology Gandhinagar,Sushobhan Sen,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-sushobhan,"['Laboratory and computational characterization of pavements', 'Collection of in-situ climate data to incorporate local climatic effects into design', 'Assessment of the effect of climate change and extreme events on infrastructure performance, sustainability, and\nresilience']",https://scholar.google.co.in/citations?user=Az0zTVgAAAAJ,10,11,https://iitgn.ac.in/media/pages/faculty/civil/fac-sushobhan/1627401271-1679554160/sushobhan.png
48,Indian Institute of Technology Gandhinagar,Tarun Gangwar,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-tarun,"['Computational Solid Mechanics', 'Multiscale Topology Optimization', 'Multiscale Material Modeling', 'Micromechanics', 'Finite Element Methods', 'Embedded Domain Finite Element Methods', 'Biomedical Engineering']",https://scholar.google.co.in/citations?user=wB8NCQkAAAAJ,4,4,https://iitgn.ac.in/media/pages/faculty/civil/fac-tarun/4095780778-1679554160/tarun.webp
49,Indian Institute of Technology Gandhinagar,Udit Bhatia,Civil Engineering,https://iitgn.ac.in/faculty/civil/fac-udit,"['Critical infrastructure resilience', 'Network science', 'Ecological dynamics', 'Machine learning', 'Climate variability and change']",https://scholar.google.co.in/citations?user=tYqY-VoAAAAJ,12,15,https://iitgn.ac.in/media/pages/faculty/civil/fac-udit/2308710421-1679554160/0udit.jpg
51,Indian Institute of Technology Gandhinagar,Aditi Kothiyal,Creative Learning,https://iitgn.ac.in/faculty/cl/aditi,"['Making in education', 'Embodied learning', 'Hands-on learning', 'Engineering education', 'STEM education']",https://scholar.google.co.in/citations?user=EAWHyvkAAAAJ,8,7,https://iitgn.ac.in/media/pages/faculty/cl/aditi/2476537832-1679554159/grey (2).jpg
52,Indian Institute of Technology Gandhinagar,Manish Jain,Creative Learning,https://iitgn.ac.in/faculty/cl/manish,"['Hands-on & experiential pedagogy', 'STEM education and creative learning', '3D geometry, polyhedra, geodesics', 'Machines & mechanisms', 'Recreational math']",https://scholar.google.co.in/citations?user=OUh8XFYAAAAJ,9,8,https://iitgn.ac.in/media/pages/faculty/cl/manish/2322895355-1679554159/manish.jpg
53,Indian Institute of Technology Gandhinagar,Abhishek Bichhawat,Computer Science & Engineering,https://iitgn.ac.in/faculty/cse/abhishek,"['Language-based security', 'Formal methods and verification for security', 'Information flow security', 'End-to-end policy enforcement', 'Security of IoT platforms']",https://scholar.google.co.in/citations?user=qJavKW4AAAAJ,7,6,https://iitgn.ac.in/media/pages/faculty/cse/abhishek/962353777-1679554159/avhishek.jpg
54,Indian Institute of Technology Gandhinagar,Anirban Dasgupta,Computer Science & Engineering,https://iitgn.ac.in/faculty/cse/anirban,"['Algorithms for large scale data', 'Social networks', 'Computational social science', 'Crowdsourcing', 'Machine learning']",https://scholar.google.co.in/citations?user=plJC8R0AAAAJ,30,56,https://iitgn.ac.in/media/pages/faculty/cse/anirban/729890348-1679554159/anirban.jpg
55,Indian Institute of Technology Gandhinagar,Balagopal Komarath,Computer Science & Engineering,https://iitgn.ac.in/faculty/cse/balagopal,['Circuit complexity and other low-level computational models'],https://scholar.google.co.in/citations?user=uTv7Dl4AAAAJ,4,1,https://iitgn.ac.in/media/pages/faculty/cse/balagopal/222867797-1679554159/balagopal.jpg
56,Indian Institute of Technology Gandhinagar,Bireswar Das,Computer Science & Engineering,https://iitgn.ac.in/faculty/cse/bireswar,"['Computational complexity theory and algorithms', 'Algebra and computationy']",https://scholar.google.co.in/citations?user=RcBEsucAAAAJ,10,10,https://iitgn.ac.in/media/pages/faculty/cse/bireswar/3263365499-1679554159/bireswar.jpg
57,Indian Institute of Technology Gandhinagar,Krishna Prasad Miyapuram,Computer Science & Engineering,https://iitgn.ac.in/faculty/cse/krishna,"['Neuroeconomics & neuromarketing', 'Computational cognitive science', 'Neuroimaging (EEG, fMRI) & brain computer interface', 'Machine learning & artificial intelligence']",https://scholar.google.co.in/citations?user=R20YmxkAAAAJ,12,15,https://iitgn.ac.in/media/pages/faculty/cse/krishna/3621938376-1679554159/1-krishna.jpg
59,Indian Institute of Technology Gandhinagar,Mayank Singh,Computer Science & Engineering,https://iitgn.ac.in/faculty/cse/mayank,"['Text mining', 'Natural language and processing', 'Machine learning', 'Network science', 'Information retrieval']",https://scholar.google.co.in/citations?user=U2NUj90AAAAJ,11,15,https://iitgn.ac.in/media/pages/faculty/cse/mayank/923634747-1679554159/mayank.jpg
60,Indian Institute of Technology Gandhinagar,Neeldhara Misra,Computer Science & Engineering,https://iitgn.ac.in/faculty/cse/neeldhara,"['Design and analysis of algorithms', 'Computational social choice', 'Extremal combinatorics', 'Combinatorial game theory', 'Combinatorial and computational Geometry', 'Satisfiability and constraint satisfaction']",https://scholar.google.co.in/citations?user=XFgieDYAAAAJ,19,35,https://iitgn.ac.in/media/pages/faculty/cse/neeldhara/2444387690-1679554159/neeldhara1.jpg
61,Indian Institute of Technology Gandhinagar,Nipun Batra,Computer Science & Engineering,https://iitgn.ac.in/faculty/cse/nipun,"['Sensor networks', 'Machine learning', 'Computational sustainability']",https://scholar.google.co.in/citations?user=rFGzHlIAAAAJ,20,21,https://iitgn.ac.in/media/pages/faculty/cse/nipun/3587009419-1679554159/nipun.jpg
62,Indian Institute of Technology Gandhinagar,Rajat Moona,Computer Science & Engineering,https://iitgn.ac.in/faculty/cse/rajat-moona,"['Computer Architecture', 'VLSI Design', 'Operating Systems', 'Embedded Systems', 'Security', 'Smart Cards and RFID']",https://scholar.google.co.in/citations?user=jKAw8-sAAAAJ,1,0,https://iitgn.ac.in/media/pages/faculty/cse/rajat-moona/2905206850-1679554159/rajat-moona.jpg
63,Indian Institute of Technology Gandhinagar,Sameer Gundurao Kulkarni,Computer Science & Engineering,https://iitgn.ac.in/faculty/cse/sameer,"['Network Function Virtualization', 'Software Defined Networking', 'Cloud Computing', 'Power & Performance Optimizations', 'Network Security and Data Reliability', 'Green Computing', 'Virtual Machines & Virtualization', 'Embedded and Portable Devices', 'Distributed Systems']",https://scholar.google.co.in/citations?user=2QGvuwIAAAAJ,22,40,https://iitgn.ac.in/media/pages/faculty/cse/sameer/98771858-1679554159/sameer.jpg
65,Indian Institute of Technology Gandhinagar,Shouvick Mondal,Computer Science & Engineering,https://iitgn.ac.in/faculty/cse/shouvick,"['Software Testing, Evolution, and Maintenance', 'Social Choice Theoretic Software Engineering', 'Software Logging, and Analysis', 'Mining Software Repositories', 'Empirical Software Engineering']",https://scholar.google.co.in/citations?user=QtsJ2pUAAAAJ,3,0,https://iitgn.ac.in/media/pages/faculty/cse/shouvick/519632434-1679554159/shouvik.jpg
66,Indian Institute of Technology Gandhinagar,Yogesh Kumar Meena,Computer Science & Engineering,https://iitgn.ac.in/faculty/cse/yogesh,"['Human-Computer Interaction (H-CI)', 'Accessibility Interfaces and Emerging Markets', 'Artificial Intelligence/Machine Learning (AI/ML)', 'Sensor-Driven Interaction and Rehabilitation (Gaze, EMG, sEMG, EEG, MEG)', 'Internet of Things (IoT) and Sustainability']",https://scholar.google.co.in/citations?user=uoRWFewAAAAJ,3,0,https://iitgn.ac.in/media/pages/faculty/cse/yogesh/3021740708-1679554159/yogesh.jpg
68,Indian Institute of Technology Gandhinagar,Sameer Sahasrabudhe,Design,https://iitgn.ac.in/faculty/design/sameer,"['Visual Communication', '3D Animation', 'Educational Technology.']",https://scholar.google.co.in/citations?user=2QGvuwIAAAAJ,22,40,https://iitgn.ac.in/media/pages/faculty/design/sameer/98771858-1679554159/sameer.jpg
69,Indian Institute of Technology Gandhinagar,C N Pandey,Earth Sciences,https://iitgn.ac.in/faculty/earths/fac-cnpandey,"['Carbon sequestration of coral reefs of Gujarat', 'Status of grasslands of Saurashtra and Central Gujarat', 'Potential area mapping for mangrove restoration in South Gujarat, Kachchh and Saurashtra']",https://scholar.google.co.in/citations?user=83HXAjoAAAAJ,20,31,https://iitgn.ac.in/media/pages/faculty/civil/fac-cnpandey/3290344263-1679554160/cn_pandey.jpg
